品項,本週平均批發價(元/公斤)
推薦No: 1                                    莧菜-白莧菜,14.6
推薦No: 2                                    蕹菜-小葉                                            (空心菜),14.7
推薦No: 3                                    茭白筍-去殼,71.1
推薦No: 4                                    海菜-水蓮,42.2
推薦No: 5                                    莧菜-紅莧菜,15.9
推薦No: 6                                    芹菜-白梗,21.2
推薦No: 7                                    芽菜類-綠豆芽,8.4
推薦No: 8                                    蓮藕,20.8
推薦No: 9                                    蕹菜-水蕹菜                                            (空心菜),29.4
推薦No: 10                                    芹菜-青梗,15.3
推薦No: 11                                    茭白筍-帶殼,40.9
推薦No: 12                                    芽菜類-黃豆芽,16.2
推薦No: 13                                    蕹菜-大葉                                            (空心菜),9.3
推薦No: 14                                    蘆筍-白蘆筍,46.9
推薦No: 15                                    海菜-海帶,22.6
推薦No: 16                                    蘆筍-綠蘆筍,94.5
推薦No: 17                                    芹菜-西洋芹菜,20.3
推薦No: 18                                    百合,115.7
推薦No: 19                                    芽菜類-苜蓿芽,37.3
推薦No: 20                                    芽菜類-豌豆芽,38.9
推薦No: 21                                    莧菜-水耕,12.7
推薦No: 22                                    蘆筍-蘆筍花,94.4
推薦No: 23                                    西洋菜,18
推薦No: 24                                    菱角-熟菱角,30
推薦No: 25                                    菱角-去殼,59.2
推薦No: 26                                    菱角-生菱角,60
推薦No: 27                                    蓮藕-蓮子,225.6
推薦No: 28                                    蕹菜-水耕                                            (空心菜),31.1
推薦No: 29                                    海菜-龍鬚菜,18.1
推薦No: 30                                    芹菜-水耕,13.7
推薦No: 31                                    芹菜-芹菜管,22.5
推薦No: 32                                    芹菜-山芹菜,50.7
